Feature: 0, Score: 0.00817
Feature: 1, Score: 0.00399
Feature: 2, Score: 0.01008
Feature: 3, Score: 0.00361
Feature: 4, Score: 0.00605
Feature: 5, Score: 0.00556
Feature: 6, Score: 0.01003
Feature: 7, Score: 0.00442
Feature: 8, Score: 0.07612
Feature: 9, Score: 0.02067
Feature: 10, Score: 0.01683
Feature: 11, Score: 0.00328
Feature: 12, Score: 0.03456
Feature: 13, Score: 0.00845
Feature: 14, Score: 0.00819
Feature: 15, Score: 0.00813
Feature: 16, Score: 0.29555
Feature: 17, Score: 0.06488
Feature: 18, Score: 0.00582
Feature: 19, Score: 0.00414
Feature: 20, Score: 0.14352
Feature: 21, Score: 0.00504
Feature: 22, Score: 0.01329
Feature: 23, Score: 0.02754
Feature: 24, Score: 0.08571
Feature: 25, Score: 0.01627
Feature: 26, Score: 0.00989
Feature: 27, Score: 0.00260
Feature: 28, Score: 0.02387
Feature: 29, Score: 0.00539
Feature: 30, Score: 0.00757
Feature: 31, Score: 0.00539
Feature: 32, Score: 0.00474
Feature: 33, Score: 0.00212
Feature: 34, Score: 0.00255
Feature: 35, Score: 0.00232
Feature: 36, Score: 0.00331
Feature: 37, Score: 0.00394
Feature: 38, Score: 0.00196
Feature: 39, Score: 0.00256
Feature: 40, Score: 0.00227
Feature: 41, Score: 0.00169
Feature: 42, Score: 0.00210
Feature: 43, Score: 0.00199
Feature: 44, Score: 0.00243
Feature: 45, Score: 0.00187
Feature: 46, Score: 0.00198
Feature: 47, Score: 0.00181
Feature: 48, Score: 0.00198
Feature: 49, Score: 0.00195
Feature: 50, Score: 0.00181
Feature: 51, Score: 0.00191
Feature: 52, Score: 0.00207
Feature: 53, Score: 0.00197
Feature: 54, Score: 0.00184
Feature: 55, Score: 0.00221
